ticker,company_name,country,ipo_year,market_cap,subsector
CTY,Qwest Corporation,United States,2013.0,,Telecommunications Equipment
CTZ,Qwest Corporation,United States,,,Telecommunications Equipment
RRD,R.R. Donnelley & Sons Company,United States,,341660000.0,Publishing
RCM,R1 RCM Inc.,United States,,978140000.0,Other Consumer Services
RARX,"Ra Pharmaceuticals, Inc.",United States,2016.0,354470000.0,Major Pharmaceuticals
RADA,RADA Electronic Industries Ltd.,Israel,,87800000.0,Electronic Components
RDCM,Radcom Ltd.,Israel,1997.0,264579999.99999997,Computer peripheral equipment
RDN,Radian Group Inc.,United States,,4219999999.9999995,Property-Casualty Insurers
RLGT^A,"Radiant Logistics, Inc.",United States,,,
RLGT,"Radiant Logistics, Inc.",United States,,202870000.0,Oil Refining/Marketing
RSYS,RadiSys Corporation,United States,1995.0,59020000.0,Computer peripheral equipment
RDUS,"Radius Health, Inc.",United States,2014.0,962360000.0,Major Pharmaceuticals
RDNT,"RadNet, Inc.",United States,,677770000.0,Medical Specialities
RDWR,Radware Ltd.,Israel,1999.0,1210000000.0,Business Services
RFL,"Rafael Holdings, Inc.",,2018.0,112860000.0,Real Estate
RL,Ralph Lauren Corporation,United States,1997.0,11310000000.0,Apparel
METC,"Ramaco Resources, Inc.",United States,2017.0,274160000.0,Coal Mining
RMBS,"Rambus, Inc.",United States,1997.0,1290000000.0,Semiconductors
RPT,Ramco-Gershenson Properties Trust,United States,,1050000000.0,Real Estate Investment Trusts
RPT^D,Ramco-Gershenson Properties Trust,United States,,,
RAND,Rand Capital Corporation,United States,,14350000.0,Textiles
GOLD,Randgold Resources Limited,Jersey,,6350000000.0,Precious Metals
RNDB,"Randolph Bancorp, Inc.",United States,2016.0,103080000.0,Major Banks
RRC,Range Resources Corporation,United States,,3840000000.0,Oil & Gas Production
RNGR,"Ranger Energy Services, Inc.",United States,2017.0,138910000.0,Oilfield Services/Equipment
RPD,"Rapid7, Inc.",United States,2015.0,1490000000.0,Computer Software: Prepackaged Software
RAVE,"Rave Restaurant Group, Inc.",United States,,19640000.0,Food Distributors
RAVN,"Raven Industries, Inc.",United States,,1380000000.0,Specialty Chemicals
RJF,"Raymond James Financial, Inc.",United States,,13200000000.0,Investment Bankers/Brokers/Service
RYAM,Rayonier Advanced Materials Inc.,United States,2014.0,1060000000.0,Major Chemicals
RYAM^A,Rayonier Advanced Materials Inc.,United States,,,
RYN,Rayonier Inc.,United States,,4460000000.0,Real Estate Investment Trusts
RTN,Raytheon Company,United States,,56360000000.0,Industrial Machinery/Components
RBB,RBB Bancorp,United States,2017.0,485260000.0,Major Banks
ROLL,RBC Bearings Incorporated,United States,2005.0,3530000000.0,Metal Fabrications
RICK,"RCI Hospitality Holdings, Inc.",United States,1995.0,321790000.0,Restaurants
RCMT,"RCM Technologies, Inc.",United States,,58380000.0,Professional Services
RMAX,"RE/MAX Holdings, Inc.",,2013.0,864240000.0,Real Estate
RDI,Reading International Inc,United States,,368090000.0,Movies/Entertainment
RDIB,Reading International Inc,United States,,596910000.0,Movies/Entertainment
RGSE,"Real Goods Solar, Inc.",United States,,14060000.0,Engineering & Construction
BCNA,Reality Shares Nasdaq NexGen Economy China ETF,United States,,2100000.0,
BLCN,Reality Shares Nasdaq NextGen Economy ETF,United States,,114270000.0,
RLM,Realm Therapeutics plc,United States,,,Major Pharmaceuticals
RNWK,"RealNetworks, Inc.",United States,1997.0,130360000.00000001,EDP Services
RLGY,Realogy Holdings Corp.,United States,2012.0,2640000000.0,Real Estate
RP,"RealPage, Inc.",United States,2010.0,5080000000.0,Computer Software: Prepackaged Software
O,Realty Income Corporation,United States,,16230000000.0,Real Estate Investment Trusts
RETA,"Reata Pharmaceuticals, Inc.",United States,2016.0,,Major Pharmaceuticals
UTG,Reaves Utility Income Fund,United States,2004.0,1510000000.0,
RCON,"Recon Technology, Ltd.",China,2009.0,23580000.0,Oilfield Services/Equipment
REPH,"Recro Pharma, Inc.",United States,2014.0,122230000.0,Major Pharmaceuticals
RHT,"Red Hat, Inc.",United States,,25460000000.0,"Computer Software: Programming, Data Processing"
RLH,Red Lion Hotels Corporation,United States,,331690000.0,Hotels/Resorts
RRGB,"Red Robin Gourmet Burgers, Inc.",United States,2002.0,499910000.0,Restaurants
RRR,"Red Rock Resorts, Inc.",United States,2016.0,3670000000.0,Hotels/Resorts
RDVT,"Red Violet, Inc.",United States,,76690000.0,Computer Software: Prepackaged Software
RDFN,Redfin Corporation,United States,2017.0,1590000000.0,Real Estate
RDHL,Redhill Biopharma Ltd.,Israel,,128060000.0,Major Pharmaceuticals
RWT,"Redwood Trust, Inc.",United States,1995.0,1340000000.0,Real Estate Investment Trusts
REED,"Reeds, Inc.",United States,,66349999.99999999,Beverages (Production/Distribution)
RBC,Regal Beloit Corporation,United States,,3540000000.0,Metal Fabrications
RWGE,Regalwood Global Energy Ltd.,United States,2018.0,87010000.0,Business Services
RWGE.U,Regalwood Global Energy Ltd.,United States,2017.0,,
RWGE.WS,Regalwood Global Energy Ltd.,United States,,,
REG,Regency Centers Corporation,United States,1993.0,10740000000.0,Real Estate Investment Trusts
REGN,"Regeneron Pharmaceuticals, Inc.",United States,1991.0,39500000000.0,Major Pharmaceuticals
RGNX,REGENXBIO Inc.,United States,2015.0,2100000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
RHE^A,"Regional Health Properties, Inc.",,,,
RHE,"Regional Health Properties, Inc.",,2017.0,3610000.0,Real Estate Investment Trusts
RM,Regional Management Corp.,United States,2012.0,400380000.0,Finance: Consumer Services
RF,Regions Financial Corporation,United States,,21390000000.0,Major Banks
RF^A,Regions Financial Corporation,United States,,,
RF^B,Regions Financial Corporation,United States,,,
RGS,Regis Corporation,United States,1991.0,843200000.0,Other Consumer Services
RGLS,Regulus Therapeutics Inc.,United States,2012.0,27440000.0,Major Pharmaceuticals
RGA,"Reinsurance Group of America, Incorporated",United States,,9010000000.0,Life Insurance
RZA,"Reinsurance Group of America, Incorporated",United States,,,Life Insurance
RZB,"Reinsurance Group of America, Incorporated",United States,2016.0,,Life Insurance
REIS,"Reis, Inc",United States,,222140000.0,Business Services
RS,Reliance Steel & Aluminum Co.,United States,1994.0,6350000000.0,Metal Fabrications
RBNC,"Reliant Bancorp, Inc.",United States,,315380000.0,Major Banks
RELV,"Reliv' International, Inc.",United States,,9200000.0,Major Pharmaceuticals
RENX,RELX N.V.,Netherlands,2015.0,42630000000.0,Publishing
RELX,RELX PLC,United Kingdom,2015.0,42790000000.0,Publishing
MARK,"Remark Holdings, Inc.",United States,,120430000.0,Telecommunications Equipment
RNR,RenaissanceRe Holdings Ltd.,Bermuda,,5170000000.0,Property-Casualty Insurers
RNR^C,RenaissanceRe Holdings Ltd.,Bermuda,,,
RNR^E,RenaissanceRe Holdings Ltd.,Bermuda,,,
RNR^F,RenaissanceRe Holdings Ltd.,Bermuda,,,
RNST,Renasant Corporation,United States,,2290000000.0,Major Banks
SOL,Renesola Ltd.,China,2008.0,89160000.0,Semiconductors
REGI,"Renewable Energy Group, Inc.",United States,2012.0,806960000.0,Major Chemicals
ABAC,"Renmin Tianli Group, Inc.",China,,21630000.0,Farming/Seeds/Milling
RCG,"RENN Fund, Inc.",United States,,7280000.0,
RENN,Renren Inc.,China,2011.0,143100000.0,EDP Services
RCII,Rent-A-Center Inc.,United States,1995.0,790740000.0,Diversified Commercial Services
RGEN,Repligen Corporation,United States,1986.0,2160000000.0,Biotechnology: Biological Products (No Diagnostic Substances)
REPL,"Replimune Group, Inc.",United States,2018.0,531350000.0,Biotechnology: Biological Products (No Diagnostic Substances)
RBCAA,"Republic Bancorp, Inc.",United States,1998.0,1030000000.0,Major Banks
FRBK,"Republic First Bancorp, Inc.",United States,,449420000.0,Major Banks
RSG,"Republic Services, Inc.",United States,1998.0,23830000000.0,Environmental Services
REFR,Research Frontiers Incorporated,United States,,22640000.0,Multi-Sector Companies
RSLS,ReShape Lifesciences Inc.,United States,,610727.41,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RMD,ResMed Inc.,United States,,15450000000.0,Medical/Dental Instruments
